trip_id,load_id,driver_id,truck_id,trailer_id,dispatch_date,actual_distance_miles,actual_duration_hours,fuel_gallons_used,average_mpg,idle_time_hours,trip_status
TRIP00000027,LOAD00000027,DRV00050,TRK00019,TRL00055,2022-01-01,522,8.3,82.9,6.3,6.6,Completed
TRIP00000028,LOAD00000028,DRV00114,TRK00111,TRL00067,2022-01-01,1979,34.2,333.2,5.94,4.3,Completed
TRIP00000029,LOAD00000029,DRV00139,TRK00024,TRL00039,2022-01-01,2006,32.7,268.5,7.47,2.0,Completed
TRIP00000030,LOAD00000030,DRV00088,TRK00076,TRL00088,2022-01-01,91,1.6,16.0,5.7,9.7,Completed
TRIP00000031,LOAD00000031,DRV00036,TRK00071,TRL00136,2022-01-01,2615,48.0,418.4,6.25,10.6,Completed
TRIP00000032,LOAD00000032,DRV00085,TRK00069,TRL00174,2022-01-01,700,11.9,106.5,6.57,6.6,Completed
TRIP00000033,LOAD00000033,DRV00083,TRK00064,TRL00153,2022-01-01,176,3.2,24.8,7.11,6.1,Completed
TRIP00000034,LOAD00000034,DRV00053,TRK00054,TRL00084,2022-01-01,2464,40.9,393.6,6.26,11.9,Completed
TRIP00000035,LOAD00000035,DRV00113,TRK00009,TRL00100,2022-01-01,2054,32.7,301.6,6.81,5.1,Completed
TRIP00000036,LOAD00000036,DRV00124,TRK00038,TRL00083,2022-01-01,2285,42.8,344.1,6.64,6.9,Completed
TRIP00000037,LOAD00000037,DRV00018,TRK00085,TRL00097,2022-01-01,1535,26.5,250.0,6.14,10.9,Completed
TRIP00000038,LOAD00000038,DRV00033,TRK00089,TRL00024,2022-01-01,598,9.6,95.8,6.24,11.0,Completed
TRIP00000039,LOAD00000039,DRV00112,TRK00062,TRL00067,2022-01-01,3143,57.7,560.2,5.61,6.5,Completed
TRIP00000040,LOAD00000040,DRV00044,TRK00001,TRL00120,2022-01-01,2835,45.5,400.4,7.08,7.0,Completed
TRIP00000041,LOAD00000041,DRV00124,TRK00020,TRL00055,2022-01-01,1627,32.0,222.0,7.33,6.7,Completed
TRIP00000042,LOAD00000042,DRV00020,TRK00089,TRL00069,2022-01-01,164,3.1,24.8,6.61,11.5,Completed
TRIP00000043,LOAD00000043,DRV00026,TRK00010,TRL00168,2022-01-01,2583,48.6,467.9,5.52,11.7,Completed
TRIP00000044,LOAD00000044,DRV00102,TRK00079,TRL00048,2022-01-01,1796,34.8,326.0,5.51,7.8,Completed
TRIP00000045,LOAD00000045,DRV00117,TRK00061,TRL00070,2022-01-01,658,11.4,89.9,7.32,6.9,Completed
TRIP00000046,LOAD00000046,DRV00020,TRK00007,TRL00031,2022-01-01,176,3.0,29.6,5.95,9.9,Completed
TRIP00000047,LOAD00000047,DRV00023,TRK00015,TRL00034,2022-01-01,2159,34.7,290.6,7.43,5.1,Completed
TRIP00000048,LOAD00000048,DRV00085,TRK00058,TRL00048,2022-01-01,818,16.3,110.7,7.39,2.7,Completed
TRIP00000049,LOAD00000049,DRV00089,TRK00090,TRL00117,2022-01-01,1304,23.8,177.9,7.33,3.1,Completed
TRIP00000050,LOAD00000050,DRV00148,TRK00050,TRL00086,2022-01-01,266,4.5,39.1,6.81,8.8,Completed
TRIP00000051,LOAD00000051,DRV00134,TRK00026,TRL00168,2022-01-01,788,13.3,121.0,6.51,6.7,Completed
TRIP00000052,LOAD00000052,DRV00065,TRK00004,TRL00061,2022-01-01,1614,31.5,255.8,6.31,4.6,Completed
TRIP00000053,LOAD00000053,DRV00148,TRK00024,TRL00149,2022-01-01,764,14.8,121.9,6.27,8.3,Completed
TRIP00000054,LOAD00000054,DRV00047,TRK00063,TRL00005,2022-01-01,598,9.7,80.2,7.46,4.6,Completed
TRIP00000055,LOAD00000055,DRV00085,TRK00004,TRL00054,2022-01-01,2615,40.9,386.8,6.76,10.6,Completed
TRIP00000056,LOAD00000056,DRV00126,TRK00015,TRL00064,2022-01-01,1216,24.0,196.8,6.18,7.3,Completed
TRIP00000057,LOAD00000057,DRV00001,TRK00073,TRL00097,2022-01-01,1961,33.9,290.9,6.74,4.9,Completed
TRIP00000058,LOAD00000058,DRV00121,TRK00030,TRL00170,2022-01-01,806,13.1,123.2,6.54,4.6,Completed
TRIP00000059,LOAD00000059,DRV00108,TRK00090,TRL00072,2022-01-01,1788,27.7,267.7,6.68,3.6,Completed
TRIP00000060,LOAD00000060,DRV00041,TRK00054,TRL00142,2022-01-01,681,10.6,92.8,7.34,4.6,Completed
TRIP00000061,LOAD00000061,DRV00114,TRK00009,TRL00171,2022-01-01,1351,21.4,208.5,6.48,2.8,Completed
TRIP00000062,LOAD00000062,DRV00104,TRK00002,TRL00010,2022-01-01,2483,41.3,426.6,5.82,2.2,Completed
TRIP00000063,LOAD00000063,DRV00079,TRK00115,TRL00103,2022-01-01,787,12.9,118.0,6.67,5.4,Completed
TRIP00000064,LOAD00000064,DRV00050,TRK00043,TRL00152,2022-01-01,2197,41.0,313.4,7.01,11.6,Completed
TRIP00000065,LOAD00000065,DRV00003,TRK00082,TRL00023,2022-01-01,598,10.8,89.9,6.65,10.9,Completed
TRIP00000066,LOAD00000066,DRV00124,TRK00050,TRL00127,2022-01-01,1105,21.1,168.4,6.56,7.5,Completed
TRIP00000067,LOAD00000067,,TRK00112,TRL00040,2022-01-01,2433,40.0,427.6,5.69,9.2,Completed
TRIP00000068,LOAD00000068,DRV00083,TRK00091,TRL00131,2022-01-01,1308,22.5,233.6,5.6,5.8,Completed
TRIP00000069,LOAD00000069,DRV00066,TRK00092,TRL00093,2022-01-01,2119,41.5,328.5,6.45,4.1,Completed
TRIP00000070,LOAD00000070,DRV00077,,TRL00040,2022-01-01,711,14.2,105.5,6.74,9.7,Completed
TRIP00000071,LOAD00000071,DRV00147,TRK00013,TRL00162,2022-01-01,708,12.5,117.8,6.01,3.5,Completed
TRIP00000072,LOAD00000072,DRV00092,TRK00108,TRL00095,2022-01-02,2686,43.0,444.7,6.04,10.2,Completed
TRIP00000073,LOAD00000073,DRV00055,TRK00025,TRL00105,2022-01-02,2322,38.0,384.4,6.04,8.7,Completed
TRIP00000074,LOAD00000074,DRV00051,,TRL00141,2022-01-02,2937,51.6,428.8,6.85,9.7,Completed
TRIP00000075,LOAD00000075,DRV00041,TRK00008,TRL00113,2022-01-02,2225,39.9,330.6,6.73,9.7,Completed
TRIP00000076,LOAD00000076,DRV00129,TRK00048,TRL00092,2022-01-02,751,12.6,109.2,6.88,4.0,Completed
TRIP00000077,LOAD00000077,DRV00037,TRK00025,TRL00033,2022-01-02,485,9.1,75.5,6.42,10.9,Completed
TRIP00000078,LOAD00000078,DRV00110,TRK00098,TRL00178,2022-01-02,272,4.7,38.6,7.04,3.0,Completed
TRIP00000079,LOAD00000079,DRV00014,TRK00051,TRL00014,2022-01-02,1283,21.0,231.6,5.54,5.5,Completed
TRIP00000080,LOAD00000080,DRV00053,TRK00067,TRL00112,2022-01-02,165,3.1,25.2,6.56,5.3,Completed
TRIP00000081,LOAD00000081,DRV00124,TRK00052,TRL00138,2022-01-02,1736,31.5,304.0,5.71,8.7,Completed
TRIP00000082,LOAD00000082,DRV00060,TRK00061,TRL00158,2022-01-02,848,16.8,113.8,7.45,8.4,Completed
TRIP00000083,LOAD00000083,DRV00013,TRK00059,TRL00117,2022-01-02,2689,43.8,373.0,7.21,4.3,Completed
TRIP00000084,LOAD00000084,DRV00039,TRK00014,TRL00144,2022-01-02,698,13.4,116.1,6.01,4.5,Completed
TRIP00000085,LOAD00000085,DRV00035,TRK00120,TRL00081,2022-01-02,1227,22.1,173.6,7.07,6.8,Completed
TRIP00000086,LOAD00000086,DRV00121,TRK00112,TRL00087,2022-01-02,2150,33.2,302.0,7.12,3.8,Completed
TRIP00000087,LOAD00000087,DRV00141,TRK00096,TRL00074,2022-01-02,571,8.9,88.1,6.48,5.1,Completed
TRIP00000088,LOAD00000088,DRV00078,,TRL00072,2022-01-02,864,14.5,127.8,6.76,12.0,Completed
TRIP00000089,LOAD00000089,DRV00110,TRK00064,TRL00176,2022-01-02,689,12.6,102.7,6.71,10.3,Completed
TRIP00000090,LOAD00000090,DRV00049,TRK00072,TRL00152,2022-01-02,2318,41.9,347.0,6.68,5.5,Completed
TRIP00000091,LOAD00000091,DRV00033,TRK00112,TRL00002,2022-01-02,2323,39.1,322.6,7.2,10.9,Completed
TRIP00000092,LOAD00000092,DRV00054,TRK00050,TRL00056,2022-01-02,543,9.4,83.4,6.51,11.0,Completed
TRIP00000093,LOAD00000093,DRV00020,TRK00059,TRL00168,2022-01-02,699,13.9,100.0,6.99,6.0,Completed
TRIP00000094,LOAD00000094,DRV00141,TRK00033,TRL00096,2022-01-02,1361,21.9,188.2,7.23,4.9,Completed
TRIP00000095,LOAD00000095,DRV00060,TRK00099,TRL00167,2022-01-02,1250,20.3,215.5,5.8,5.8,Completed
TRIP00000096,LOAD00000096,DRV00030,TRK00090,TRL00023,2022-01-02,1991,38.6,338.0,5.89,10.6,Completed
TRIP00000097,LOAD00000097,DRV00150,TRK00057,TRL00153,2022-01-02,1410,25.5,241.9,5.83,11.0,Completed
TRIP00000098,LOAD00000098,DRV00126,TRK00097,TRL00070,2022-01-02,682,12.5,107.1,6.37,5.7,Completed
TRIP00000099,LOAD00000099,DRV00033,TRK00024,TRL00118,2022-01-02,677,11.9,113.4,5.97,6.2,Completed
TRIP00000100,LOAD00000100,DRV00005,TRK00095,TRL00158,2022-01-02,2683,50.1,358.2,7.49,11.3,Completed
TRIP00000101,LOAD00000101,DRV00002,TRK00112,TRL00074,2022-01-02,2918,53.5,508.4,5.74,4.5,Completed
TRIP00000102,LOAD00000102,DRV00129,TRK00063,TRL00088,2022-01-02,767,12.9,124.5,6.16,3.0,Completed
TRIP00000103,LOAD00000103,DRV00109,TRK00052,TRL00053,2022-01-02,1264,22.2,198.4,6.37,2.8,Completed
TRIP00000104,LOAD00000104,,TRK00114,TRL00013,2022-01-02,1048,18.5,143.2,7.32,4.6,Completed
TRIP00000105,LOAD00000105,DRV00139,TRK00115,TRL00073,2022-01-02,624,12.4,102.3,6.1,11.6,Completed
TRIP00000106,LOAD00000106,DRV00084,TRK00026,TRL00099,2022-01-02,2569,49.2,427.5,6.01,8.5,Completed
TRIP00000107,LOAD00000107,DRV00124,TRK00011,TRL00046,2022-01-02,498,8.9,75.3,6.61,4.2,Completed
TRIP00000108,LOAD00000108,DRV00111,TRK00069,TRL00097,2022-01-02,91,1.4,15.9,5.74,7.9,Completed
TRIP00000109,LOAD00000109,DRV00071,TRK00078,TRL00013,2022-01-02,1696,33.0,233.0,7.28,2.9,Completed
TRIP00000110,LOAD00000110,DRV00090,TRK00067,TRL00027,2022-01-02,2669,51.9,368.6,7.24,10.1,Completed
TRIP00000111,LOAD00000111,DRV00075,TRK00065,TRL00093,2022-01-02,690,11.1,98.3,7.02,4.5,Completed
TRIP00000112,LOAD00000112,DRV00079,TRK00071,TRL00092,2022-01-02,1377,21.3,244.1,5.64,4.7,Completed
TRIP00000113,LOAD00000113,DRV00036,TRK00062,TRL00064,2022-01-02,1262,23.4,206.2,6.12,6.4,Completed
TRIP00000114,LOAD00000114,DRV00114,TRK00030,TRL00083,2022-01-02,2367,43.6,400.5,5.91,11.7,Completed
TRIP00000115,LOAD00000115,DRV00141,TRK00080,TRL00163,2022-01-02,663,11.6,100.9,6.57,6.1,Completed
TRIP00000116,LOAD00000116,DRV00147,TRK00114,TRL00025,2022-01-02,92,1.7,15.1,6.09,3.3,Completed
TRIP00000117,LOAD00000117,DRV00018,TRK00091,TRL00001,2022-01-02,2098,35.9,369.4,5.68,9.6,Completed
TRIP00000118,LOAD00000118,DRV00127,TRK00085,TRL00111,2022-01-02,1782,29.2,318.8,5.59,2.4,Completed
TRIP00000119,LOAD00000119,DRV00019,TRK00069,TRL00120,2022-01-02,1178,19.9,190.6,6.18,11.4,Completed
TRIP00000120,LOAD00000120,DRV00069,TRK00038,TRL00104,2022-01-02,732,12.1,109.4,6.69,2.2,Completed
TRIP00000121,LOAD00000121,DRV00113,TRK00099,TRL00077,2022-01-02,1299,22.9,202.0,6.43,3.8,Completed
TRIP00000122,LOAD00000122,DRV00015,TRK00112,TRL00110,2022-01-02,1153,18.5,205.9,5.6,5.7,Completed
TRIP00000123,LOAD00000123,DRV00101,TRK00095,TRL00122,2022-01-02,1213,23.9,161.9,7.49,2.4,Completed
TRIP00000124,LOAD00000124,DRV00119,TRK00050,TRL00071,2022-01-02,2940,46.2,417.0,7.05,9.3,Completed
TRIP00000125,LOAD00000125,DRV00111,TRK00045,TRL00106,2022-01-02,629,12.3,102.4,6.14,4.8,Completed
TRIP00000126,LOAD00000126,DRV00017,TRK00097,TRL00154,2022-01-02,1258,24.1,190.0,6.62,10.8,Completed
TRIP00000127,LOAD00000127,DRV00108,TRK00114,TRL00150,2022-01-02,2296,37.8,347.9,6.6,9.8,Completed
TRIP00000128,LOAD00000128,DRV00119,TRK00051,TRL00042,2022-01-02,736,12.7,100.4,7.33,10.5,Completed
TRIP00000129,LOAD00000129,DRV00110,TRK00029,TRL00073,2022-01-02,1260,21.0,178.7,7.05,4.8,Completed
TRIP00000130,LOAD00000130,DRV00103,TRK00025,TRL00079,2022-01-02,1651,31.1,222.5,7.42,3.3,Completed
TRIP00000131,LOAD00000131,DRV00105,TRK00030,TRL00119,2022-01-02,717,12.5,121.9,5.88,6.9,Completed
TRIP00000132,LOAD00000132,DRV00066,TRK00016,TRL00029,2022-01-02,709,11.4,119.4,5.94,5.4,Completed
TRIP00000133,LOAD00000133,DRV00033,TRK00083,TRL00137,2022-01-02,2288,38.8,337.5,6.78,10.9,Completed
TRIP00000134,LOAD00000134,DRV00111,TRK00038,TRL00089,2022-01-02,96,1.7,15.6,6.15,11.7,Completed
TRIP00000135,LOAD00000135,DRV00012,TRK00038,TRL00090,2022-01-02,2089,41.7,294.2,7.1,3.9,Completed
TRIP00000136,LOAD00000136,DRV00014,TRK00108,TRL00164,2022-01-02,1872,29.2,304.4,6.15,6.7,Completed
TRIP00000137,LOAD00000137,DRV00037,TRK00061,TRL00163,2022-01-02,2655,47.6,404.1,6.57,9.4,Completed
TRIP00000138,LOAD00000138,DRV00083,TRK00059,TRL00109,2022-01-02,2029,38.6,275.7,7.36,2.8,Completed
TRIP00000139,LOAD00000139,DRV00043,TRK00015,TRL00055,2022-01-02,99,1.9,14.6,6.78,6.1,Completed
TRIP00000140,LOAD00000140,DRV00098,TRK00031,TRL00176,2022-01-02,3117,54.5,562.6,5.54,7.1,Completed
TRIP00000141,LOAD00000141,DRV00107,TRK00033,TRL00131,2022-01-02,676,12.1,115.2,5.87,4.6,Completed
TRIP00000142,LOAD00000142,DRV00066,TRK00057,TRL00112,2022-01-03,2682,44.3,398.5,6.73,2.5,Completed
TRIP00000143,LOAD00000143,DRV00071,TRK00024,TRL00051,2022-01-03,1703,32.9,240.9,7.07,2.6,Completed
TRIP00000144,LOAD00000144,DRV00149,TRK00105,TRL00016,2022-01-03,91,1.6,12.9,7.06,3.8,Completed
TRIP00000145,LOAD00000145,DRV00014,TRK00067,TRL00092,2022-01-03,664,11.3,119.0,5.58,2.2,Completed
TRIP00000146,LOAD00000146,DRV00020,TRK00080,TRL00089,2022-01-03,1568,26.9,221.2,7.09,9.3,Completed
TRIP00000147,LOAD00000147,DRV00001,TRK00079,TRL00047,2022-01-03,3292,64.0,503.4,6.54,5.4,Completed
TRIP00000148,LOAD00000148,DRV00095,TRK00072,TRL00126,2022-01-03,2785,46.0,410.8,6.78,4.4,Completed
TRIP00000149,LOAD00000149,DRV00037,TRK00030,TRL00031,2022-01-03,689,11.7,103.9,6.63,3.2,Completed
TRIP00000150,LOAD00000150,DRV00146,TRK00089,TRL00046,2022-01-03,630,11.7,88.0,7.16,7.9,Completed
TRIP00000151,LOAD00000151,DRV00120,TRK00052,TRL00118,2022-01-03,826,13.5,126.7,6.52,10.7,Completed
TRIP00000152,LOAD00000152,DRV00146,TRK00097,TRL00132,2022-01-03,721,11.1,118.6,6.08,11.4,Completed
TRIP00000153,LOAD00000153,DRV00002,TRK00035,TRL00129,2022-01-03,171,2.7,23.0,7.42,4.3,Completed
TRIP00000154,LOAD00000154,DRV00122,TRK00080,TRL00053,2022-01-03,3315,53.1,474.2,6.99,6.0,Completed
TRIP00000155,LOAD00000155,DRV00063,TRK00112,TRL00174,2022-01-03,2652,51.9,376.2,7.05,4.3,Completed
TRIP00000156,LOAD00000156,DRV00055,TRK00013,TRL00035,2022-01-03,713,13.3,97.9,7.28,7.1,Completed
TRIP00000157,LOAD00000157,DRV00079,TRK00041,TRL00177,2022-01-03,2004,39.9,319.6,6.27,11.0,Completed
TRIP00000158,LOAD00000158,DRV00024,TRK00031,TRL00020,2022-01-03,1618,29.9,272.4,5.94,9.7,Completed
TRIP00000159,LOAD00000159,DRV00090,,TRL00032,2022-01-03,697,13.4,108.7,6.41,11.7,Completed
TRIP00000160,LOAD00000160,DRV00087,TRK00001,TRL00030,2022-01-03,2166,43.1,339.5,6.38,3.0,Completed
TRIP00000161,LOAD00000161,DRV00114,TRK00029,TRL00053,2022-01-03,266,5.0,42.0,6.33,12.0,Completed
TRIP00000162,LOAD00000162,DRV00127,TRK00011,TRL00046,2022-01-03,2255,39.8,311.5,7.24,9.6,Completed
TRIP00000163,LOAD00000163,DRV00089,TRK00112,TRL00089,2022-01-03,2084,36.4,337.8,6.17,10.5,Completed
TRIP00000164,LOAD00000164,DRV00069,TRK00045,TRL00104,2022-01-03,557,9.5,98.2,5.67,10.2,Completed
TRIP00000165,LOAD00000165,DRV00033,TRK00090,TRL00006,2022-01-03,95,1.9,14.5,6.56,10.9,Completed
TRIP00000166,LOAD00000166,DRV00045,TRK00067,TRL00083,2022-01-03,485,7.5,75.4,6.43,5.6,Completed
TRIP00000167,LOAD00000167,DRV00017,TRK00120,TRL00060,2022-01-03,669,10.3,93.6,7.15,4.3,Completed
TRIP00000168,LOAD00000168,DRV00145,TRK00055,TRL00136,2022-01-03,2099,41.6,310.0,6.77,4.9,Completed
TRIP00000169,LOAD00000169,DRV00074,TRK00055,TRL00141,2022-01-03,577,10.8,87.4,6.6,4.3,Completed
TRIP00000170,LOAD00000170,DRV00003,TRK00092,TRL00161,2022-01-03,3212,54.7,516.4,6.22,6.9,Completed
TRIP00000171,LOAD00000171,DRV00049,TRK00115,TRL00111,2022-01-03,1911,36.4,326.7,5.85,10.3,Completed
TRIP00000172,LOAD00000172,DRV00133,TRK00080,TRL00024,2022-01-03,1645,29.7,254.6,6.46,9.1,Completed
TRIP00000173,LOAD00000173,DRV00149,TRK00026,TRL00050,2022-01-03,729,13.2,120.9,6.03,6.4,Completed
TRIP00000174,LOAD00000174,DRV00139,TRK00057,TRL00057,2022-01-03,2801,46.7,509.3,5.5,2.8,Completed
TRIP00000175,LOAD00000175,DRV00082,TRK00002,TRL00093,2022-01-03,560,9.3,80.8,6.93,10.6,Completed
TRIP00000176,LOAD00000176,DRV00036,TRK00086,TRL00099,2022-01-03,505,7.9,91.5,5.52,3.0,Completed
TRIP00000177,LOAD00000177,DRV00075,TRK00074,TRL00141,2022-01-03,801,14.9,139.1,5.76,2.3,Completed
TRIP00000178,LOAD00000178,DRV00056,TRK00096,TRL00165,2022-01-03,2161,34.7,341.9,6.32,4.9,Completed
TRIP00000179,LOAD00000179,DRV00003,TRK00103,TRL00089,2022-01-03,2605,48.3,379.2,6.87,5.1,Completed
TRIP00000180,LOAD00000180,DRV00019,TRK00013,TRL00040,2022-01-03,693,12.1,104.5,6.63,6.3,Completed
TRIP00000181,LOAD00000181,DRV00145,TRK00086,TRL00081,2022-01-03,1246,20.2,185.4,6.72,6.4,Completed
TRIP00000182,LOAD00000182,DRV00065,TRK00058,TRL00033,2022-01-03,2143,38.5,346.2,6.19,3.4,Completed
TRIP00000183,LOAD00000183,DRV00078,TRK00029,TRL00097,2022-01-03,2745,54.0,486.7,5.64,6.7,Completed
TRIP00000184,LOAD00000184,DRV00107,TRK00026,TRL00014,2022-01-03,488,8.6,81.6,5.98,9.8,Completed
TRIP00000185,LOAD00000185,DRV00063,TRK00092,TRL00011,2022-01-03,1215,21.1,198.2,6.13,4.6,Completed
TRIP00000186,LOAD00000186,DRV00123,TRK00110,TRL00102,2022-01-03,2620,46.6,378.6,6.92,6.8,Completed
TRIP00000187,LOAD00000187,DRV00095,TRK00053,TRL00048,2022-01-03,2087,37.9,360.4,5.79,7.7,Completed
TRIP00000188,LOAD00000188,DRV00050,TRK00065,TRL00003,2022-01-03,2792,51.1,458.5,6.09,6.9,Completed
TRIP00000189,LOAD00000189,DRV00010,TRK00112,TRL00125,2022-01-03,1247,21.2,182.8,6.82,11.2,Completed
TRIP00000190,LOAD00000190,DRV00111,TRK00105,TRL00069,2022-01-03,471,9.3,67.8,6.95,6.6,Completed
TRIP00000191,LOAD00000191,DRV00138,TRK00035,TRL00022,2022-01-03,719,12.7,105.4,6.82,8.2,Completed
TRIP00000192,LOAD00000192,DRV00091,TRK00053,TRL00127,2022-01-03,1581,24.8,236.3,6.69,9.1,Completed
TRIP00000193,LOAD00000193,DRV00113,TRK00015,TRL00118,2022-01-03,752,11.7,105.0,7.16,10.3,Completed
TRIP00000194,LOAD00000194,DRV00100,TRK00026,TRL00093,2022-01-03,689,10.8,118.4,5.82,5.8,Completed
TRIP00000195,LOAD00000195,DRV00138,TRK00020,TRL00177,2022-01-03,2664,48.3,462.5,5.76,4.2,Completed
TRIP00000196,LOAD00000196,DRV00147,TRK00026,TRL00093,2022-01-03,1721,30.2,290.7,5.92,10.5,Completed
TRIP00000197,LOAD00000197,DRV00108,TRK00108,TRL00008,2022-01-03,2411,46.0,427.5,5.64,8.6,Completed
TRIP00000198,LOAD00000198,DRV00127,TRK00058,TRL00170,2022-01-03,1368,26.6,243.4,5.62,5.5,Completed
TRIP00000199,LOAD00000199,DRV00035,TRK00057,TRL00030,2022-01-03,696,12.0,100.6,6.92,6.7,Completed
TRIP00000200,LOAD00000200,DRV00041,TRK00012,TRL00149,2022-01-03,1221,20.4,171.7,7.11,10.6,Completed
TRIP00000201,LOAD00000201,DRV00142,TRK00004,TRL00056,2022-01-03,1275,20.7,180.9,7.05,8.2,Completed
TRIP00000202,LOAD00000202,DRV00114,TRK00071,TRL00036,2022-01-03,698,13.4,107.4,6.5,8.2,Completed
TRIP00000203,LOAD00000203,DRV00103,TRK00101,TRL00053,2022-01-03,641,11.7,87.3,7.34,4.1,Completed
TRIP00000204,LOAD00000204,DRV00089,TRK00111,TRL00088,2022-01-03,2674,46.7,372.9,7.17,2.6,Completed
TRIP00000205,LOAD00000205,DRV00095,TRK00079,TRL00065,2022-01-03,1033,17.7,148.0,6.98,6.9,Completed
TRIP00000206,LOAD00000206,DRV00011,TRK00015,TRL00020,2022-01-03,644,11.8,102.4,6.29,2.7,Completed
TRIP00000207,LOAD00000207,DRV00059,TRK00010,TRL00063,2022-01-03,1137,18.9,168.4,6.75,10.9,Completed
TRIP00000208,LOAD00000208,DRV00124,TRK00031,TRL00064,2022-01-03,2390,41.9,319.5,7.48,11.5,Completed
TRIP00000209,LOAD00000209,DRV00065,TRK00110,TRL00169,2022-01-03,1984,31.8,343.3,5.78,9.8,Completed
TRIP00000210,LOAD00000210,DRV00083,TRK00116,TRL00048,2022-01-03,670,10.9,93.4,7.17,4.9,Completed
TRIP00000211,LOAD00000211,DRV00005,TRK00105,TRL00083,2022-01-03,1612,29.2,271.8,5.93,8.3,Completed
TRIP00000212,LOAD00000212,DRV00004,TRK00049,TRL00125,2022-01-03,1743,33.2,289.1,6.03,3.8,Completed
TRIP00000213,LOAD00000213,DRV00099,TRK00035,TRL00125,2022-01-03,1704,33.7,230.6,7.39,7.9,Completed
TRIP00000214,LOAD00000214,DRV00012,TRK00009,TRL00046,2022-01-03,1311,23.9,201.7,6.5,11.7,Completed
TRIP00000215,LOAD00000215,DRV00006,TRK00011,TRL00175,2022-01-03,712,11.8,103.9,6.85,5.3,Completed
TRIP00000216,LOAD00000216,DRV00101,TRK00010,TRL00024,2022-01-03,486,7.8,77.4,6.28,9.7,Completed
TRIP00000217,LOAD00000217,DRV00022,TRK00083,TRL00081,2022-01-03,1068,19.9,182.9,5.84,6.8,Completed
TRIP00000218,LOAD00000218,DRV00132,TRK00019,TRL00059,2022-01-03,2179,38.9,314.0,6.94,10.9,Completed
