load_id,customer_id,route_id,load_date,load_type,weight_lbs,pieces,revenue,fuel_surcharge,accessorial_charges,load_status,booking_type
LOAD00000017,CUST00022,RTE00054,2022-01-01,Dry Van,34281,18,3521.84,295.83,75,Completed,Dedicated
LOAD00000018,CUST00093,RTE00038,2022-01-01,Refrigerated,35885,9,3622.99,314.64,150,Completed,Dedicated
LOAD00000019,CUST00092,RTE00012,2022-01-01,Refrigerated,19754,28,6009.91,453.91,0,Completed,Dedicated
LOAD00000020,CUST00029,RTE00001,2022-01-01,Dry Van,27587,23,1070.73,128.63,150,Completed,Dedicated
LOAD00000021,CUST00047,RTE00042,2022-01-01,Dry Van,19296,6,6543.53,472.14,0,Completed,Contract
LOAD00000022,CUST00018,RTE00009,2022-01-01,Refrigerated,18806,18,1754.79,149.26,50,Completed,Contract
LOAD00000023,CUST00007,RTE00048,2022-01-01,Dry Van,43889,2,5546.99,792.88,50,Completed,Dedicated
LOAD00000024,CUST00041,RTE00035,2022-01-01,Refrigerated,19601,23,1947.42,344.12,100,Completed,Contract
LOAD00000025,CUST00036,RTE00034,2022-01-01,Dry Van,20324,20,4479.29,792.88,0,Completed,Dedicated
LOAD00000026,CUST00033,RTE00022,2022-01-01,Refrigerated,44197,19,1091.98,161.53,0,Completed,Contract
LOAD00000027,CUST00065,RTE00058,2022-01-01,Refrigerated,17186,5,1195.13,98.61,100,Completed,Spot
LOAD00000028,CUST00073,RTE00004,2022-01-01,Refrigerated,35037,16,4096.78,383.23,75,Completed,Dedicated
LOAD00000029,CUST00055,RTE00026,2022-01-01,Refrigerated,14471,2,2985.66,555.52,75,Completed,Spot
LOAD00000030,CUST00136,RTE00010,2022-01-01,Dry Van,41155,13,166.6,15.64,200,Completed,Contract
LOAD00000031,CUST00135,RTE00042,2022-01-01,Dry Van,20882,19,5386.12,472.14,100,Completed,Dedicated
LOAD00000032,CUST00076,RTE00006,2022-01-01,Refrigerated,44284,22,1241.88,189.0,200,Completed,Spot
LOAD00000033,CUST00029,RTE00033,2022-01-01,Dry Van,35731,15,397.65,40.08,0,Completed,Dedicated
LOAD00000034,CUST00079,RTE00034,2022-01-01,Refrigerated,35141,17,5336.08,792.88,75,Completed,Contract
LOAD00000035,CUST00016,RTE00026,2022-01-01,Refrigerated,32941,8,3333.54,555.52,75,Completed,Dedicated
LOAD00000036,CUST00081,RTE00020,2022-01-01,Refrigerated,27839,3,4255.48,738.48,0,Completed,Spot
LOAD00000037,CUST00102,RTE00055,2022-01-01,Dry Van,30111,6,3648.12,357.25,200,Completed,Dedicated
LOAD00000038,CUST00119,RTE00022,2022-01-01,Dry Van,29891,20,1144.42,161.53,50,Completed,Spot
LOAD00000039,CUST00044,RTE00025,2022-01-01,Refrigerated,37685,15,5362.03,565.38,50,Completed,Dedicated
LOAD00000040,CUST00114,RTE00016,2022-01-01,Dry Van,15118,7,6049.16,463.93,0,Completed,Dedicated
LOAD00000041,CUST00017,RTE00007,2022-01-01,Dry Van,40655,24,4409.48,504.32,0,Completed,Dedicated
LOAD00000042,CUST00027,RTE00033,2022-01-01,Dry Van,25321,12,380.59,40.08,50,Completed,Dedicated
LOAD00000043,CUST00185,RTE00042,2022-01-01,Dry Van,37867,17,7166.34,472.14,0,Completed,Dedicated
LOAD00000044,CUST00190,RTE00056,2022-01-01,Refrigerated,38265,28,4320.1,309.24,100,Completed,Dedicated
LOAD00000045,CUST00060,RTE00031,2022-01-01,Refrigerated,33321,13,1397.3,185.6,0,Completed,Dedicated
LOAD00000046,CUST00038,RTE00033,2022-01-01,Dry Van,18519,27,349.73,40.08,200,Completed,Contract
LOAD00000047,CUST00109,RTE00020,2022-01-01,Dry Van,28659,24,3834.6,738.48,150,Completed,Contract
LOAD00000048,CUST00185,RTE00053,2022-01-01,Dry Van,34466,8,1820.31,209.79,100,Completed,Spot
LOAD00000049,CUST00003,RTE00041,2022-01-01,Dry Van,14164,11,2970.83,255.36,200,Completed,Dedicated
LOAD00000050,CUST00137,RTE00036,2022-01-01,Dry Van,18373,18,586.48,86.46,150,Completed,Dedicated
LOAD00000051,CUST00114,RTE00053,2022-01-01,Dry Van,18900,18,1908.52,209.79,0,Completed,Contract
LOAD00000052,CUST00065,RTE00043,2022-01-01,Refrigerated,41933,3,2709.18,249.44,50,Completed,Spot
LOAD00000053,CUST00039,RTE00053,2022-01-01,Refrigerated,31661,8,1772.1,209.79,75,Completed,Dedicated
LOAD00000054,CUST00101,RTE00045,2022-01-01,Dry Van,26730,12,1558.56,137.31,50,Completed,Contract
LOAD00000055,CUST00030,RTE00042,2022-01-01,Dry Van,28665,24,6217.14,472.14,75,Completed,Dedicated
LOAD00000056,CUST00115,RTE00035,2022-01-01,Dry Van,19151,13,1961.75,344.12,0,Completed,Spot
LOAD00000057,CUST00018,RTE00051,2022-01-01,Dry Van,42959,27,3290.19,460.0,100,Completed,Dedicated
LOAD00000058,CUST00181,RTE00008,2022-01-01,Refrigerated,32233,7,2008.44,114.3,100,Completed,Dedicated
LOAD00000059,CUST00156,RTE00056,2022-01-01,Dry Van,36670,4,4010.78,309.24,0,Completed,Contract
LOAD00000060,CUST00169,RTE00031,2022-01-01,Dry Van,20352,1,1284.96,185.6,50,Completed,Contract
LOAD00000061,CUST00028,RTE00038,2022-01-01,Refrigerated,16374,13,3035.92,314.64,0,Completed,Contract
LOAD00000062,CUST00071,RTE00012,2022-01-01,Refrigerated,39516,22,6224.98,453.91,0,Completed,Dedicated
LOAD00000063,CUST00170,RTE00008,2022-01-01,Refrigerated,28017,15,2294.59,114.3,200,Completed,Contract
LOAD00000064,CUST00070,RTE00030,2022-01-01,Dry Van,11745,9,5773.26,708.51,0,Completed,Dedicated
LOAD00000065,CUST00084,RTE00022,2022-01-01,Refrigerated,21031,4,976.39,161.53,75,Completed,Contract
LOAD00000066,CUST00169,RTE00039,2022-01-01,Refrigerated,18437,27,2288.24,344.52,50,Completed,Contract
LOAD00000067,CUST00137,RTE00046,2022-01-01,Refrigerated,37048,11,5742.86,499.18,200,Completed,Dedicated
LOAD00000068,CUST00022,RTE00023,2022-01-01,Dry Van,13615,25,2948.24,216.92,200,Completed,Dedicated
LOAD00000069,CUST00095,RTE00026,2022-01-01,Refrigerated,35683,11,2969.62,555.52,0,Completed,Dedicated
LOAD00000070,CUST00091,RTE00013,2022-01-01,Refrigerated,36085,1,1182.65,141.33,200,Completed,Contract
LOAD00000071,CUST00036,RTE00006,2022-01-01,Dry Van,24520,9,1621.31,189.0,0,Completed,Dedicated
LOAD00000072,CUST00166,RTE00037,2022-01-02,Refrigerated,38997,25,3709.21,537.81,0,Completed,Dedicated
LOAD00000073,CUST00038,RTE00032,2022-01-02,Refrigerated,18015,24,5103.24,451.8,75,Completed,Contract
LOAD00000074,CUST00139,RTE00016,2022-01-02,Dry Van,25410,4,6266.36,463.93,0,Completed,Spot
LOAD00000075,CUST00070,RTE00028,2022-01-02,Refrigerated,30564,11,4476.08,564.72,0,Completed,Dedicated
LOAD00000076,CUST00177,RTE00050,2022-01-02,Refrigerated,26519,1,1193.23,170.88,0,Completed,Spot
LOAD00000077,CUST00105,RTE00047,2022-01-02,Dry Van,11063,19,926.86,76.16,150,Completed,Dedicated
LOAD00000078,CUST00060,RTE00036,2022-01-02,Dry Van,34299,28,723.75,86.46,75,Completed,Dedicated
LOAD00000079,CUST00164,RTE00023,2022-01-02,Refrigerated,26669,1,2557.47,216.92,100,Completed,Dedicated
LOAD00000080,CUST00044,RTE00033,2022-01-02,Refrigerated,13728,3,422.11,40.08,75,Completed,Spot
LOAD00000081,CUST00073,RTE00005,2022-01-02,Dry Van,40180,13,4776.23,454.74,0,Completed,Dedicated
LOAD00000082,CUST00030,RTE00052,2022-01-02,Refrigerated,35397,13,1367.63,273.36,0,Completed,Dedicated
LOAD00000083,CUST00039,RTE00042,2022-01-02,Refrigerated,38608,28,6406.92,472.14,0,Completed,Spot
LOAD00000084,CUST00175,RTE00001,2022-01-02,Refrigerated,34114,12,1098.31,128.63,0,Completed,Spot
LOAD00000085,CUST00116,RTE00024,2022-01-02,Refrigerated,10131,27,3304.91,376.0,0,Completed,Dedicated
LOAD00000086,CUST00061,RTE00021,2022-01-02,Dry Van,11537,22,5554.06,590.24,0,Completed,Dedicated
LOAD00000087,CUST00078,RTE00022,2022-01-02,Refrigerated,13783,22,1212.18,161.53,200,Completed,Dedicated
LOAD00000088,CUST00039,RTE00052,2022-01-02,Dry Van,44525,14,1410.62,273.36,0,Completed,Dedicated
LOAD00000089,CUST00071,RTE00002,2022-01-02,Refrigerated,28700,16,1444.9,153.34,150,Completed,Dedicated
LOAD00000090,CUST00032,RTE00046,2022-01-02,Refrigerated,28819,4,5287.59,499.18,100,Completed,Contract
LOAD00000091,CUST00045,RTE00020,2022-01-02,Dry Van,38641,27,3760.32,738.48,0,Completed,Spot
LOAD00000092,CUST00194,RTE00058,2022-01-02,Dry Van,28898,3,1106.05,98.61,0,Completed,Spot
LOAD00000093,CUST00012,RTE00013,2022-01-02,Refrigerated,32111,24,1157.22,141.33,150,Completed,Contract
LOAD00000094,CUST00030,RTE00023,2022-01-02,Refrigerated,25327,11,2947.63,216.92,0,Completed,Contract
LOAD00000095,CUST00113,RTE00024,2022-01-02,Dry Van,43626,16,3237.58,376.0,100,Completed,Dedicated
LOAD00000096,CUST00121,RTE00026,2022-01-02,Refrigerated,22625,12,3712.06,555.52,0,Completed,Dedicated
LOAD00000097,CUST00166,RTE00055,2022-01-02,Refrigerated,21514,16,3886.42,357.25,200,Completed,Dedicated
LOAD00000098,CUST00035,RTE00031,2022-01-02,Dry Van,16002,6,1463.9,185.6,50,Completed,Dedicated
LOAD00000099,CUST00047,RTE00018,2022-01-02,Dry Van,13406,22,1467.1,187.6,150,Completed,Spot
LOAD00000100,CUST00182,RTE00044,2022-01-02,Dry Van,20122,18,7040.61,814.37,0,Completed,Spot
LOAD00000101,CUST00063,RTE00016,2022-01-02,Dry Van,29075,3,7516.54,463.93,150,Completed,Spot
LOAD00000102,CUST00003,RTE00008,2022-01-02,Dry Van,23688,8,1762.17,114.3,0,Completed,Spot
LOAD00000103,CUST00165,RTE00014,2022-01-02,Dry Van,17213,2,2333.14,228.76,200,Completed,Spot
LOAD00000104,CUST00152,RTE00039,2022-01-02,Dry Van,10076,23,1898.21,344.52,0,Completed,Dedicated
LOAD00000105,CUST00181,RTE00045,2022-01-02,Refrigerated,28669,10,1182.91,137.31,150,Completed,Dedicated
LOAD00000106,CUST00156,RTE00037,2022-01-02,Dry Van,25965,28,4423.72,537.81,100,Completed,Dedicated
LOAD00000107,CUST00107,RTE00047,2022-01-02,Dry Van,23840,5,862.24,76.16,0,Completed,Contract
LOAD00000108,CUST00171,RTE00010,2022-01-02,Dry Van,32468,23,167.63,15.64,0,Completed,Spot
LOAD00000109,CUST00034,RTE00056,2022-01-02,Refrigerated,33193,7,4076.85,309.24,100,Completed,Spot
LOAD00000110,CUST00015,RTE00029,2022-01-02,Dry Van,36817,1,6924.28,891.82,0,Completed,Spot
LOAD00000111,CUST00042,RTE00001,2022-01-02,Refrigerated,37897,1,985.03,128.63,150,Completed,Contract
LOAD00000112,CUST00175,RTE00038,2022-01-02,Refrigerated,42780,22,3913.66,314.64,0,Completed,Dedicated
LOAD00000113,CUST00018,RTE00035,2022-01-02,Refrigerated,15979,25,2273.01,344.12,75,Completed,Dedicated
LOAD00000114,CUST00198,RTE00046,2022-01-02,Refrigerated,21533,17,6231.98,499.18,0,Completed,Contract
LOAD00000115,CUST00135,RTE00006,2022-01-02,Dry Van,42782,7,1548.42,189.0,150,Completed,Contract
LOAD00000116,CUST00078,RTE00010,2022-01-02,Refrigerated,19855,7,164.97,15.64,0,Completed,Dedicated
LOAD00000117,CUST00137,RTE00004,2022-01-02,Dry Van,37460,18,3545.72,383.23,100,Completed,Dedicated
LOAD00000118,CUST00145,RTE00056,2022-01-02,Dry Van,12481,21,4836.23,309.24,100,Completed,Spot
LOAD00000119,CUST00084,RTE00017,2022-01-02,Refrigerated,14222,20,2298.83,384.2,0,Completed,Contract
LOAD00000120,CUST00085,RTE00002,2022-01-02,Dry Van,23074,25,1417.56,153.34,0,Completed,Dedicated
LOAD00000121,CUST00081,RTE00023,2022-01-02,Dry Van,23011,17,2562.66,216.92,0,Completed,Dedicated
LOAD00000122,CUST00164,RTE00017,2022-01-02,Dry Van,12139,20,2148.93,384.2,75,Completed,Spot
LOAD00000123,CUST00177,RTE00024,2022-01-02,Dry Van,12381,21,2658.64,376.0,0,Completed,Dedicated
LOAD00000124,CUST00040,RTE00016,2022-01-02,Refrigerated,16897,8,5864.39,463.93,100,Completed,Dedicated
LOAD00000125,CUST00145,RTE00045,2022-01-02,Dry Van,24461,5,1275.41,137.31,50,Completed,Dedicated
LOAD00000126,CUST00094,RTE00035,2022-01-02,Dry Van,26167,4,2259.52,344.12,75,Completed,Spot
LOAD00000127,CUST00138,RTE00032,2022-01-02,Refrigerated,10559,8,4242.83,451.8,50,Completed,Dedicated
LOAD00000128,CUST00026,RTE00050,2022-01-02,Dry Van,19319,22,1447.91,170.88,0,Completed,Dedicated
LOAD00000129,CUST00126,RTE00035,2022-01-02,Dry Van,19177,19,1801.54,344.12,100,Completed,Contract
LOAD00000130,CUST00136,RTE00054,2022-01-02,Dry Van,40002,17,2868.5,295.83,0,Completed,Contract
LOAD00000131,CUST00143,RTE00006,2022-01-02,Dry Van,14273,23,1361.45,189.0,50,Completed,Spot
LOAD00000132,CUST00098,RTE00050,2022-01-02,Refrigerated,41678,20,1182.37,170.88,200,Completed,Contract
LOAD00000133,CUST00178,RTE00028,2022-01-02,Refrigerated,42051,6,3554.9,564.72,0,Completed,Dedicated
LOAD00000134,CUST00117,RTE00015,2022-01-02,Refrigerated,25714,13,270.3,13.8,0,Completed,Contract
LOAD00000135,CUST00123,RTE00003,2022-01-02,Refrigerated,27353,11,5253.96,580.87,0,Completed,Spot
LOAD00000136,CUST00008,RTE00005,2022-01-02,Dry Van,11601,8,4390.63,454.74,100,Completed,Contract
LOAD00000137,CUST00190,RTE00029,2022-01-02,Refrigerated,37667,26,6678.67,891.82,150,Completed,Dedicated
LOAD00000138,CUST00093,RTE00004,2022-01-02,Refrigerated,11593,11,4127.84,383.23,100,Completed,Dedicated
LOAD00000139,CUST00192,RTE00010,2022-01-02,Dry Van,14283,11,144.91,15.64,200,Completed,Spot
LOAD00000140,CUST00118,RTE00025,2022-01-02,Dry Van,28009,10,5181.01,565.38,0,Completed,Dedicated
LOAD00000141,CUST00018,RTE00013,2022-01-02,Dry Van,25605,13,1134.23,141.33,75,Completed,Dedicated
LOAD00000142,CUST00085,RTE00016,2022-01-03,Dry Van,29047,3,5936.83,463.93,0,Completed,Dedicated
LOAD00000143,CUST00175,RTE00056,2022-01-03,Refrigerated,26524,15,4095.0,309.24,150,Completed,Dedicated
LOAD00000144,CUST00143,RTE00010,2022-01-03,Refrigerated,27045,26,159.9,15.64,0,Completed,Spot
LOAD00000145,CUST00133,RTE00018,2022-01-03,Refrigerated,31359,1,1517.16,187.6,50,Completed,Contract
LOAD00000146,CUST00059,RTE00054,2022-01-03,Refrigerated,33866,17,3485.04,295.83,0,Completed,Dedicated
LOAD00000147,CUST00010,RTE00025,2022-01-03,Refrigerated,19676,22,5365.21,565.38,75,Completed,Contract
LOAD00000148,CUST00180,RTE00016,2022-01-03,Refrigerated,20352,20,7620.93,463.93,0,Completed,Contract
LOAD00000149,CUST00191,RTE00006,2022-01-03,Refrigerated,43562,27,1263.64,189.0,75,Completed,Dedicated
LOAD00000150,CUST00125,RTE00045,2022-01-03,Dry Van,11869,26,1480.82,137.31,150,Completed,Contract
LOAD00000151,CUST00092,RTE00052,2022-01-03,Dry Van,24399,28,1127.05,273.36,150,Completed,Contract
LOAD00000152,CUST00095,RTE00006,2022-01-03,Refrigerated,32027,1,1642.32,189.0,200,Completed,Spot
LOAD00000153,CUST00063,RTE00033,2022-01-03,Refrigerated,30903,17,377.06,40.08,150,Completed,Spot
LOAD00000154,CUST00073,RTE00025,2022-01-03,Refrigerated,43072,6,5170.94,565.38,0,Completed,Dedicated
LOAD00000155,CUST00125,RTE00037,2022-01-03,Dry Van,22160,5,4288.08,537.81,0,Completed,Spot
LOAD00000156,CUST00159,RTE00006,2022-01-03,Dry Van,41316,2,1473.45,189.0,50,Completed,Dedicated
LOAD00000157,CUST00145,RTE00026,2022-01-03,Dry Van,37798,24,3674.15,555.52,0,Completed,Dedicated
LOAD00000158,CUST00071,RTE00007,2022-01-03,Dry Van,12043,18,4373.38,504.32,0,Completed,Dedicated
LOAD00000159,CUST00096,RTE00018,2022-01-03,Dry Van,18154,4,1301.75,187.6,100,Completed,Dedicated
LOAD00000160,CUST00028,RTE00021,2022-01-03,Refrigerated,11545,18,4668.01,590.24,0,Completed,Dedicated
LOAD00000161,CUST00191,RTE00036,2022-01-03,Refrigerated,26732,22,603.36,86.46,200,Completed,Dedicated
LOAD00000162,CUST00003,RTE00046,2022-01-03,Refrigerated,20934,14,7022.16,499.18,0,Completed,Dedicated
LOAD00000163,CUST00063,RTE00004,2022-01-03,Dry Van,18637,8,3330.02,383.23,50,Completed,Contract
LOAD00000164,CUST00072,RTE00058,2022-01-03,Dry Van,35494,19,1033.13,98.61,0,Completed,Dedicated
LOAD00000165,CUST00107,RTE00015,2022-01-03,Dry Van,25117,23,284.75,13.8,150,Completed,Dedicated
LOAD00000166,CUST00009,RTE00047,2022-01-03,Refrigerated,21629,12,903.88,76.16,200,Completed,Dedicated
LOAD00000167,CUST00121,RTE00031,2022-01-03,Refrigerated,39090,23,1494.15,185.6,0,Completed,Spot
LOAD00000168,CUST00111,RTE00021,2022-01-03,Refrigerated,35815,27,4616.36,590.24,200,Completed,Spot
LOAD00000169,CUST00154,RTE00022,2022-01-03,Dry Van,25016,25,1018.27,161.53,0,Completed,Contract
LOAD00000170,CUST00098,RTE00025,2022-01-03,Refrigerated,38403,7,5394.19,565.38,0,Completed,Contract
LOAD00000171,CUST00061,RTE00051,2022-01-03,Refrigerated,29589,7,3262.13,460.0,150,Completed,Spot
LOAD00000172,CUST00188,RTE00054,2022-01-03,Refrigerated,34588,14,3126.36,295.83,0,Completed,Spot
LOAD00000173,CUST00029,RTE00050,2022-01-03,Dry Van,43867,4,1481.95,170.88,50,Completed,Contract
LOAD00000174,CUST00183,RTE00016,2022-01-03,Dry Van,36560,3,7142.79,463.93,50,Completed,Contract
LOAD00000175,CUST00174,RTE00058,2022-01-03,Dry Van,30761,14,1324.96,98.61,0,Completed,Dedicated
LOAD00000176,CUST00099,RTE00047,2022-01-03,Dry Van,17160,7,900.54,76.16,150,Completed,Dedicated
LOAD00000177,CUST00027,RTE00052,2022-01-03,Dry Van,40803,26,1386.38,273.36,75,Completed,Dedicated
LOAD00000178,CUST00180,RTE00030,2022-01-03,Refrigerated,23971,7,4925.19,708.51,0,Completed,Dedicated
LOAD00000179,CUST00099,RTE00037,2022-01-03,Dry Van,40880,28,3913.08,537.81,75,Completed,Contract
LOAD00000180,CUST00079,RTE00013,2022-01-03,Refrigerated,13225,10,1220.24,141.33,200,Completed,Contract
LOAD00000181,CUST00014,RTE00014,2022-01-03,Refrigerated,25870,27,2746.8,228.76,0,Completed,Dedicated
LOAD00000182,CUST00080,RTE00003,2022-01-03,Dry Van,13235,5,4878.8,580.87,100,Completed,Spot
LOAD00000183,CUST00077,RTE00042,2022-01-03,Dry Van,19969,20,6856.14,472.14,75,Completed,Contract
LOAD00000184,CUST00050,RTE00047,2022-01-03,Dry Van,12130,6,876.25,76.16,150,Completed,Spot
LOAD00000185,CUST00191,RTE00017,2022-01-03,Refrigerated,41300,9,2224.58,384.2,100,Completed,Dedicated
LOAD00000186,CUST00083,RTE00044,2022-01-03,Dry Van,41484,24,7166.92,814.37,200,Completed,Dedicated
LOAD00000187,CUST00060,RTE00004,2022-01-03,Dry Van,22258,7,4127.85,383.23,0,Completed,Contract
LOAD00000188,CUST00042,RTE00042,2022-01-03,Refrigerated,10683,6,7156.57,472.14,150,Completed,Contract
LOAD00000189,CUST00075,RTE00041,2022-01-03,Refrigerated,43540,24,3802.25,255.36,50,Completed,Spot
LOAD00000190,CUST00078,RTE00047,2022-01-03,Dry Van,44370,8,1034.07,76.16,50,Completed,Dedicated
LOAD00000191,CUST00178,RTE00049,2022-01-03,Dry Van,14060,1,2148.42,144.0,200,Completed,Dedicated
LOAD00000192,CUST00052,RTE00007,2022-01-03,Refrigerated,37026,17,4494.04,504.32,100,Completed,Contract
LOAD00000193,CUST00080,RTE00049,2022-01-03,Refrigerated,35452,3,1930.02,144.0,50,Completed,Contract
LOAD00000194,CUST00168,RTE00013,2022-01-03,Dry Van,36990,19,1061.42,141.33,100,Completed,Contract
LOAD00000195,CUST00074,RTE00037,2022-01-03,Dry Van,20017,2,3445.05,537.81,200,Completed,Dedicated
LOAD00000196,CUST00079,RTE00040,2022-01-03,Refrigerated,18030,21,4038.87,524.7,200,Completed,Spot
LOAD00000197,CUST00181,RTE00048,2022-01-03,Dry Van,27207,1,5555.29,792.88,150,Completed,Spot
LOAD00000198,CUST00061,RTE00023,2022-01-03,Refrigerated,35418,14,2734.93,216.92,75,Completed,Spot
LOAD00000199,CUST00107,RTE00013,2022-01-03,Dry Van,33788,18,1065.25,141.33,150,Completed,Dedicated
LOAD00000200,CUST00191,RTE00035,2022-01-03,Dry Van,14451,16,2032.15,344.12,75,Completed,Dedicated
LOAD00000201,CUST00041,RTE00035,2022-01-03,Dry Van,44280,18,2108.75,344.12,0,Completed,Dedicated
LOAD00000202,CUST00080,RTE00002,2022-01-03,Dry Van,13902,11,1250.09,153.34,0,Completed,Spot
LOAD00000203,CUST00076,RTE00031,2022-01-03,Dry Van,22734,13,1272.49,185.6,0,Completed,Contract
LOAD00000204,CUST00005,RTE00042,2022-01-03,Dry Van,37733,21,7108.04,472.14,50,Completed,Dedicated
LOAD00000205,CUST00180,RTE00039,2022-01-03,Dry Van,32691,11,2029.17,344.52,75,Completed,Contract
LOAD00000206,CUST00050,RTE00031,2022-01-03,Refrigerated,14736,1,1396.93,185.6,200,Completed,Dedicated
LOAD00000207,CUST00161,RTE00017,2022-01-03,Refrigerated,20952,21,1839.49,384.2,75,Completed,Contract
LOAD00000208,CUST00025,RTE00034,2022-01-03,Dry Van,14259,22,4345.4,792.88,200,Completed,Contract
LOAD00000209,CUST00041,RTE00003,2022-01-03,Refrigerated,16749,22,4387.3,580.87,50,Completed,Dedicated
LOAD00000210,CUST00084,RTE00013,2022-01-03,Refrigerated,35219,1,1133.28,141.33,0,Completed,Dedicated
LOAD00000211,CUST00007,RTE00043,2022-01-03,Dry Van,13207,20,2671.89,249.44,75,Completed,Dedicated
LOAD00000212,CUST00077,RTE00040,2022-01-03,Dry Van,17555,7,4487.17,524.7,0,Completed,Dedicated
LOAD00000213,CUST00031,RTE00056,2022-01-03,Refrigerated,21952,22,3867.39,309.24,0,Completed,Dedicated
LOAD00000214,CUST00101,RTE00023,2022-01-03,Dry Van,33930,21,3218.88,216.92,0,Completed,Spot
LOAD00000215,CUST00071,RTE00006,2022-01-03,Dry Van,10328,17,1640.09,189.0,0,Completed,Dedicated
LOAD00000216,CUST00028,RTE00047,2022-01-03,Refrigerated,40120,11,1004.67,76.16,0,Completed,Dedicated
LOAD00000217,CUST00075,RTE00039,2022-01-03,Refrigerated,40033,15,2382.1,344.52,50,Completed,Contract
LOAD00000218,CUST00057,RTE00020,2022-01-03,Dry Van,24746,19,3586.56,738.48,0,Completed,Spot
LOAD00000219,CUST00029,RTE00038,2022-01-03,Dry Van,15462,21,3545.67,314.64,0,Completed,Dedicated
LOAD00000220,CUST00007,RTE00006,2022-01-03,Refrigerated,25791,24,1411.47,189.0,150,Completed,Spot
LOAD00000221,CUST00044,RTE00039,2022-01-04,Refrigerated,17822,11,2218.83,344.52,0,Completed,Spot
LOAD00000222,CUST00013,RTE00028,2022-01-04,Refrigerated,24429,20,4336.5,564.72,50,Completed,Contract
LOAD00000223,CUST00200,RTE00025,2022-01-04,Dry Van,25636,23,5871.99,565.38,200,Completed,Spot
LOAD00000224,CUST00054,RTE00031,2022-01-04,Dry Van,10514,27,1372.92,185.6,0,Completed,Dedicated
LOAD00000225,CUST00034,RTE00039,2022-01-04,Refrigerated,28496,22,1963.12,344.52,150,Completed,Spot
LOAD00000226,CUST00020,RTE00051,2022-01-04,Refrigerated,28487,10,3709.67,460.0,100,Completed,Dedicated
LOAD00000227,CUST00125,RTE00039,2022-01-04,Dry Van,17755,22,1895.8,344.52,75,Completed,Spot
LOAD00000228,CUST00051,RTE00054,2022-01-04,Refrigerated,23328,14,2858.53,295.83,50,Completed,Dedicated
LOAD00000229,CUST00008,RTE00014,2022-01-04,Refrigerated,39699,15,2367.01,228.76,150,Completed,Dedicated
LOAD00000230,CUST00086,RTE00002,2022-01-04,Dry Van,12035,25,1378.33,153.34,0,Completed,Dedicated
LOAD00000231,CUST00184,RTE00033,2022-01-04,Refrigerated,31637,27,367.34,40.08,0,Completed,Contract
LOAD00000232,CUST00188,RTE00021,2022-01-04,Dry Van,20071,19,5150.39,590.24,50,Completed,Dedicated
LOAD00000233,CUST00022,RTE00039,2022-01-04,Refrigerated,27445,22,2206.78,344.52,200,Completed,Dedicated
LOAD00000234,CUST00049,RTE00031,2022-01-04,Refrigerated,33747,4,1463.94,185.6,200,Completed,Dedicated
LOAD00000235,CUST00113,RTE00015,2022-01-04,Dry Van,26709,22,239.47,13.8,0,Completed,Dedicated
LOAD00000236,CUST00139,RTE00017,2022-01-04,Refrigerated,21748,5,1864.85,384.2,150,Completed,Spot
LOAD00000237,CUST00038,RTE00007,2022-01-04,Dry Van,34917,17,3944.81,504.32,0,Completed,Dedicated
